序号,文件名,文件相对路径,文件md5,用户输入,校验点,备注
47,增城淼森-1页.png,xl-dataset/增城淼森-1页.png,694d7aaed69c37381b79a65d47fddb52,请分析订单图片,"1. 客户名称准确匹配为""广州增城淼森生物技术有限公司""
2. 支付方式根据结算条款""月结""确定为""账期支付""
3. 发票类型根据订单要求确定为""增值税专用发票""
4. 配送方式根据送货条款确定为""送货上门""
5. 商品信息完整转换：
   - 商品名称标准化为：无水磷酸二氢钠、柠檬酸、氢氧化钠
   - 物料编码精准匹配：2010820304201、2270610704205、2010310304214
6. 合同编号202CGDD20250506-003填入备注栏
7. 交货日期注明为""2025-05-08""
8. 商品单位KG",
2,海南火山岩矿泉水有限公司-20250519150811782070.jpg,xl-dataset/海南火山岩矿泉水有限公司-20250519150811782070.jpg,72356de2662b9848a1121d449519d83c,请分析订单图片,"1. 客户名称匹配：""海南火山岩矿泉水有限公司""
2. 支付方式：匹配为""银行转账+承兑汇票""
3. 结算方式：匹配为""银行转账+承兑汇票""
4. 发票类型：""增值税专用发票""
5. 配送方式：匹配""厂车配送""
6. 商品信息匹配：
   - SY1（双氧水）：匹配存货编码1560010704201，商品类型""易制爆""
   - XS1（硝酸）：匹配存货编码1270190204702，商品类型""易制爆""
7. 单位转换：
   - 双氧水：7500kg
   - 硝酸：400瓶",
3,20250506134343512523太禾精细.png,xl-dataset/20250506134343512523太禾精细.png,8e079e596b8c0265968fc1db2c82f831,请分析订单图片,"1. 客户名称准确匹配为""太禾精细化工（惠州）有限公司""
2. 支付方式根据结算条款""月结30天""确定为""账期支付""
3. 发票类型根据增值税要求确定为""增值税专用发票""
4. 配送方式根据历史订单确定为""托运""
5. 商品信息完整转换：
   - 一水合柠檬酸：数量2000，单位KG，规格CP25kg/袋
   - 硫酸氢钠：数量400，单位KG，规格CP25kg/袋
   - 氯化铵：数量300，单位KG，规格CP25kg/袋
   - 柠檬酸三钠：数量300，单位KG，规格CP25kg/桶
6. 合同编号TH202505002填入备注栏
7. 交货日期注明为""2025-05-15""",
4,20250513104820456885广东越海.png,xl-dataset/20250513104820456885广东越海.png,6fb2d0cafb634bf38b194b5c38d5f246,请分析订单图片,"1. 客户名称准确匹配为""广东越海集成技术有限公司""
2. 支付方式根据""月结60天""确定为""账期支付""
3. 发票类型根据合同要求确定为""增值税专用发票""
4. 配送方式根据历史订单记录确定为""快递""
5. 商品信息完整转换：
   - 商品名称标准化为""无水碳酸钠""和""过硫酸钠""
   - 物料编码准确匹配1010470101700和1010730101700
   - 过硫酸钠数量：80瓶
   - 过硫酸钠单价：为8.8元/瓶
   - 过硫酸钠品牌：西化
   - 无水碳酸钠数量：500瓶
   - 无水碳酸钠单价：为9元/瓶
   - 无水碳酸钠品牌：西化
6. 订单编号CG20250500012填入备注栏
7. 交货日期注明为""2025-06-07""
8. 商品规格与西陇标准保持一致(AR500g/瓶)",
5,东莞广通事务机有限公司-20250519144741644837.png,xl-dataset/东莞广通事务机有限公司-20250519144741644837.png,e0f519d8fe89661e5e6d173b934dd6f0,请分析订单图片,"1. 客户名称准确匹配为""东莞广通事务机有限公司""
2. 支付方式根据历史订单记录确定为""线下支付(银行转账)""
3. 发票类型默认确定为""增值税专用发票""
4. 配送方式根据历史订单记录确定为""供应商直送""
5. 商品信息完整转换：
   - 商品名称标准化为""乙醇(无水乙醇)""
   - 物料编码准确匹配1280340101601
   - 数量保持60BT(瓶)不变
6. 订单编号R5524364填入备注栏
7. 交货日期注明为""2025-06-13""
8. 商品规格与西陇标准保持一致(AR500ml/玻瓶)",由东莞广通事务机有限公司-20250519144741644837.pdf转换生成
6,20250512130721494113黄石信博.png,xl-dataset/20250512130721494113黄石信博.png,ddb53f87df3793f0633a3947d99197b4,请分析订单图片,"1. 客户名称准确匹配为""黄石信博科技有限公司""
2. 支付方式根据""月结30天""确定为""账期支付""
3. 结算方式：银行转账
4. 发票类型根据合同要求确定为""增值税专用发票""
5. 配送方式根据历史订单记录确定为""快递""
6. 商品信息完整转换：
   - 内部商品名称标准化为""硅酸""
   - 内部物料编码准确匹配1270180104202
   - 数量保持合同中的200KG
   - 单价采用含税单价45.20元
7. 采购编号4000013661填入备注栏
8. 交货日期注明为""2025-05-14""
9. 商品规格AR25kg/桶",
7,深圳市博莱恩科技有限公司-20250519150611144034.png,xl-dataset/深圳市博莱恩科技有限公司-20250519150611144034.png,48a51ed51b8b86ff0d49a3d2d430e5c5,请分析订单图片,"1. 客户名称准确匹配为""深圳市博莱恩科技有限公司""
2. 支付方式""月结""正确映射为""账期支付""
3. 发票类型确定为""增值税专用发票""
4. 配送方式根据历史订单确定为""供应商直送""
5. 商品信息完整转换：
   - 氯化钠：数量100公斤，单价6.1元/KG
   - 十二水合磷酸氢二钠：数量50公斤，单价13.7元/KG
6. 订单编号2025-05-19-019已填入备注栏
7. 商品规格与西陇标准保持一致(AR25kg/桶)",
8,苏州锐杰微科技集团有限公司-20250519141517095277.jpg,xl-dataset/苏州锐杰微科技集团有限公司-20250519141517095277.jpg,abbaa551443542de11ae6819e47e2108,请分析订单图片,"1. 客户名称匹配：""苏州锐杰微科技集团有限公司""
2. 支付方式：""月结30天""对应""账期支付""
3. 结算方式：从历史订单中获取""银行转账""
4. 发票类型：订单未明确说明，默认""增值税专用发票"" 
5. 配送方式：历史订单中为""送货上门""
6. 商品信息匹配：
   - 酒精(无水乙醇)：匹配存货编码1280340104702
   - 规格为AR2500ml/塑瓶，数量40
   - 商品类型为""普通危险品""
   - 商品单价25.5",
9,浙江卫星新材料科技有限公司-20250519153032171602.jpg,xl-dataset/浙江卫星新材料科技有限公司-20250519153032171602.jpg,a9cf236e65c28034ef5b7a97b3abe4ff,请分析订单图片,"1. 客户名称匹配：""浙江卫星新材料科技有限公司""
2. 支付方式：合同明确为""电汇付款""，对应""线下支付(银行转账)""
3. 结算方式：根据支付方式确定为""银行转账""
4. 发票类型：合同明确要求""增值税专用发票""
5. 配送方式：合同明确为""送货""，运费由乙方承担，对应""送货上门""
6. 商品信息匹配：
   - ""卫星科技辅料\S2600""：匹配存货编码1160090101700
   - 商品类型为""普通商品""
7. 单位转换：
   - 西陇标准为500g/瓶
   - 下单数量=120瓶
   - 含税单价=10元/瓶",
10,20250508161630246802深圳贝加.png,xl-dataset/20250508161630246802深圳贝加.png,c7b22a19f7ec76df9a62912dc3b90083,请分析订单图片,"1. 客户名称准确匹配为""深圳市贝加电子材料有限公司""
2. 支付方式根据历史订单记录确定为""承兑汇票""
3. 发票类型根据合同条款确定为""增值税专用发票""
4. 配送方式根据历史订单记录确定为""快递""
5. 商品信息完整转换：
   - 商品名称标准化为""二水合碘化钠""
   - 物料编码准确匹配1010160101700
   - 数量保持合同中的20瓶
6. 合同编号CGDD-1-2025-05-080115填入备注栏
7. 交货日期注明为""2025-05-12""
8. 商品规格与西陇标准保持一致(AR500g/瓶)",
